Time,Degree
18/3/2015,23.3708
19/3/2015,23.9875
20/3/2015,23.575
21/3/2015,23.0182
22/3/2015,20.6167
23/3/2015,20.575
24/3/2015,19.625
25/3/2015,18.0833
26/3/2015,19.05
27/3/2015,20.9125
28/3/2015,21.4958
29/3/2015,22.7292
30/3/2015,22.9217
31/3/2015,23.4417
1/4/2015,24.6625
2/4/2015,25.9167
3/4/2015,25.9458
4/4/2015,26.2875
5/4/2015,25.9167
6/4/2015,26.7875
7/4/2015,23.8333
8/4/2015,18.035
9/4/2015,18.3333
10/4/2015,18.0292
11/4/2015,17.0542
12/4/2015,19.975
13/4/2015,21.1353
14/4/2015,20.6857
15/4/2015,21.2278
16/4/2015,23
17/4/2015,24.3913
18/4/2015,26.0792
19/4/2015,26.7042
20/4/2015,25.3292
21/4/2015,23.4083
22/4/2015,23.4
23/4/2015,22.5417
24/4/2015,23.6263
25/4/2015,23.8417
26/4/2015,23.9583
27/4/2015,24.5857
28/4/2015,25.7292
29/4/2015,26.825
30/4/2015,27.6917
1/5/2015,27.1714
2/5/2015,27.8042
3/5/2015,28.187
4/5/2015,28.1167
5/5/2015,26.5958
6/5/2015,27.4417
7/5/2015,28.1542
8/5/2015,28.4125
10/5/2015,26.45
11/5/2015,25.1458
12/5/2015,25.6222
13/5/2015,26.7333
14/5/2015,27.9588
15/5/2015,28.9333
16/5/2015,25.9083
17/5/2015,26.9125
18/5/2015,28.4917
19/5/2015,28.775
20/5/2015,26.8833
21/5/2015,23.6
22/5/2015,23.95
23/5/2015,24.9667
24/5/2015,27.2625
25/5/2015,27.7895
26/5/2015,27.1
27/5/2015,29.4333
28/5/2015,30.1
29/5/2015,30.2917
30/5/2015,30.0556
31/5/2015,29.6542
1/6/2015,29.1875
2/6/2015,29.3889
3/6/2015,29.3368
4/6/2015,29.0235
5/6/2015,29.0167
6/6/2015,29.2947
7/6/2015,29.7083
8/6/2015,29.925
9/6/2015,30.0958
10/6/2015,30.0333
12/6/2015,29.587
13/6/2015,29.6333
14/6/2015,29.7222
15/6/2015,28.9267
16/6/2015,29.4
17/6/2015,29.6722
18/6/2015,29.5867
19/6/2015,29.9733
20/6/2015,30
22/6/2015,27.8348
23/6/2015,27.4667
24/6/2015,28.1105
25/6/2015,28.425
26/6/2015,29.4111
27/6/2015,30.3
28/6/2015,30.119
29/6/2015,30.4053
30/6/2015,30.45
1/7/2015,30.5958
2/7/2015,30.5458
3/7/2015,30.425
4/7/2015,30.4043
5/7/2015,29.6375
6/7/2015,28.9542
7/7/2015,28.8095
8/7/2015,28.7208
9/7/2015,27.6875
10/7/2015,27.9647
12/7/2015,29.9688
13/7/2015,29.8059
14/7/2015,29.7059
15/7/2015,30.0571
16/7/2015,30.5526
17/7/2015,29.8158
18/7/2015,29.6167
19/7/2015,29.3476
20/7/2015,26.71
21/7/2015,26.6875
22/7/2015,27.6667
23/7/2015,27.95
24/7/2015,28.725
25/7/2015,28.2708
26/7/2015,28.7583
27/7/2015,28.9208
28/7/2015,28.4167
29/7/2015,27.2857
30/7/2015,27.5056
31/7/2015,27.9
1/8/2015,27.8294
2/8/2015,28.1647
3/8/2015,28.2625
4/8/2015,28.46
5/8/2015,29.1105
6/8/2015,29.6579
7/8/2015,30.4824
10/8/2015,28.415
11/8/2015,28.7941
12/8/2015,29.4647
13/8/2015,27.2958
14/8/2015,27.4417
15/8/2015,27.175
16/8/2015,29.0048
17/8/2015,29.9417
18/8/2015,29.7286
19/8/2015,30.125
20/8/2015,29.1619
21/8/2015,29.7263
22/8/2015,30.2042
23/8/2015,30.6458
24/8/2015,30.6333
25/8/2015,29.9368
26/8/2015,28.5625
27/8/2015,28.1389
28/8/2015,28.4292
29/8/2015,27.5667
30/8/2015,26.4208
31/8/2015,27.6833
1/9/2015,27.5042
2/9/2015,25.7176
3/9/2015,27.5133
4/9/2015,28.1733
5/9/2015,28.6062
6/9/2015,29.3353
7/9/2015,27.6348
8/9/2015,27.5684
9/9/2015,27.3412
10/9/2015,27.4944
11/9/2015,27.3842
12/9/2015,27.0824
13/9/2015,27.025
14/9/2015,27.3235
15/9/2015,27.7529
16/9/2015,27.9476
17/9/2015,27.9364
18/9/2015,27.6059
19/9/2015,27.9368
20/9/2015,28.3056
21/9/2015,27.215
22/9/2015,27.9579
23/9/2015,28.4941
24/9/2015,28.7588
25/9/2015,29.3421
26/9/2015,27.8048
27/9/2015,27.7208
30/9/2015,29.0375
1/10/2015,28.4208
2/10/2015,27.7458
3/10/2015,26.6958
4/10/2015,26.9333
5/10/2015,26.425
6/10/2015,25.8625
7/10/2015,26.6292
8/10/2015,27.65
9/10/2015,26.5625
12/10/2015,23.7875
13/10/2015,25.1833
14/10/2015,24.7864
15/10/2015,24.95
16/10/2015,25.38
17/10/2015,24.8235
18/10/2015,24.7789
19/10/2015,25.5478
20/10/2015,26.3333
21/10/2015,26.5875
22/10/2015,26.4905
23/10/2015,26.38
24/10/2015,26.9667
25/10/2015,25.7167
26/10/2015,25.1958
27/10/2015,26.3263
28/10/2015,26.6625
29/10/2015,26.2833
30/10/2015,26.7833
31/10/2015,24.9
